SCHNAME,ADDRESS1,TOWN,PCODE,TELNUM,ADMPOL_PT,GEND1618,AGERANGE,TPUP1618,TALLPPE_ALEV_1618,TB3PTSE,YEAR,YEAR_SCORES,full_address,Latitude,Longitude
St Paul's Girls' School,Brook Green,London,W6 7BS,2076032288,,GIRLS, 10-19,225.0,55.160000000000004,55.88666666666666,2023-2024,2021-2022: 57.83<br>2022-2023: 54.68<br>2023-2024: 55.15,"Brook Green, London, W6 7BS",51.49513980909,-0.218856521053
St Paul's School,Lonsdale Road,London,SW13 9JT,2087489162,,BOYS, 7-18,404.0,54.64666666666667,54.64333333333334,2023-2024,2021-2022: 56.33<br>2022-2023: 53.35<br>2023-2024: 54.25,"Lonsdale Road, London, SW13 9JT",51.488517979853,-0.238876864425
"Cardiff Sixth Form College, Cambridge",89 Regent Street,,CB1 2AW,1223903080,,MIXED, 14-19,71.0,52.04,54.58,2023-2024,2023-2024: 54.58,"89 Regent Street, nan, CB1 2AW",52.200060590263,0.126842083468
"Queen Elizabeth's School, Barnet",Queen's Road,Barnet,EN5 4DQ,2084414646,SEL,BOYS, 11-18,346.0,53.81,54.39000000000001,2023-2024,2021-2022: 55.95<br>2022-2023: 54.06<br>2023-2024: 53.16,"Queen's Road, Barnet, EN5 4DQ",51.655860916551,-0.213363776083
King's College School,Southside,London,SW19 4TT,2082555300,,MIXED, 7-19,457.0,53.52333333333333,54.35333333333333,2023-2024,2021-2022: 56.06<br>2022-2023: 53.14<br>2023-2024: 53.86,"Southside, London, SW19 4TT",51.421680097199,-0.225971164287
Guildford High School,London Road,Guildford,GU1 1SJ,1483561440,,GIRLS, 4-19,193.0,53.77333333333333,54.23666666666667,2023-2024,2021-2022: 55.56<br>2022-2023: 54.05<br>2023-2024: 53.10,"London Road, Guildford, GU1 1SJ",51.241090378022,-0.563736737393
Westminster School,Little Dean's Yard,London,SW1P 3PF,2079631000,,MIXED, 12-19,401.0,54.526666666666664,54.129999999999995,2023-2024,2021-2022: 57.16<br>2022-2023: 54.13<br>2023-2024: 51.10,"Little Dean's Yard, London, SW1P 3PF",51.498425347497,-0.127734337062
Brighton College,Eastern Road,Brighton,BN2 0AL,1273704200,,MIXED, 11-18,485.0,53.593333333333334,53.86333333333334,2023-2024,2021-2022: 55.26<br>2022-2023: 52.84<br>2023-2024: 53.49,"Eastern Road, Brighton, BN2 0AL",50.820255141793,-0.122004437284
City of London School for Girls,St Giles' Terrace,London,EC2Y 8BB,2078475500,,GIRLS, 7-18,197.0,52.656666666666666,53.19,2023-2024,2021-2022: 54.04<br>2022-2023: 52.95<br>2023-2024: 52.58,"St Giles' Terrace, London, EC2Y 8BB",51.51914340049,-0.09429238741
The Henrietta Barnett School,Central Square,London,NW11 7BN,2084588999,SEL,GIRLS, 11-18,273.0,52.06999999999999,53.123333333333335,2023-2024,2021-2022: 55.16<br>2022-2023: 50.75<br>2023-2024: 53.46,"Central Square, London, NW11 7BN",51.580864801808,-0.189684564336
King Edward VI High School for Girls,Edgbaston Park Road,Birmingham,B15 2UB,1214721834,,GIRLS, 11-19,191.0,52.843333333333334,53.10333333333333,2023-2024,2021-2022: 55.46<br>2022-2023: 51.59<br>2023-2024: 52.26,"Edgbaston Park Road, Birmingham, B15 2UB",52.450802415819,-1.925354172441
